Visitor,Occurrences
hein bopp von remingen,1
joh gallettij von glarus,1
mr cracclij di milan,1
cherbet von schafisheim,1
hr joseph mooser von hizkirch f 6,1
1 handw 5 landl,1
hr zobel von stuttgardt f 2,1
jof eggetschweiler von wangen,1
bell von lucerr aeberli von lachen f 6,1
2 handw 5 landl 2 schwaben,1
joh hombel von spongen,1
ant scharr aus amberg in bayern f 2,1
hr kefselring von märstetten f 2,1
hr rathsherr lagger f 8 v glarus,1
steinegger v lachen källin von einsidlen f 3,1
blum von fusach,1
mossu de troyes hr rudolph von zurzach,1
nussbaumer v ober egeri f 3,1
doctor gruber von gaiis f 2,1
hölslj von bärnbach 6 landl,1
barbara büritzellj von ober embs,1
mr charles centrier aus dem wirtenberg,1
pizzela de milan 1 schwaben fuhrmann,1
saurdtner aus tyrol,1
fürstl ch keller v sarmensdorff f 3,1
martin brenner von weinfelden  6 landl,1
adam schillmann von brudenz f 4,1
wenk hr zurcher von basel,1
moffa de troyes,1
ant gafsner von schindenlegi f 3,1
joanne de versailles,1
mr desousfecret de lyon,1
hr joh grob von liechtensteg,1
2 risgäuer buchhändler,1
anton barretti de milan,1
ein französischer soldat,1
mr gerombert dutznacht mr morell de savoye,1
daniel ernst von arau,1
hr joh nännj von herisau 2 landl,1
hbm fischer v bern hr dahn von monjoge,1
oberflyeo v witzigman beyde v constanz,1
passavant hr stähelin hr keller von basel,1
meuron de neuchatel,1
hr anton lüttold von bürren f 4,1
leonardo genaro von langenfee,1
hoguer de versailles hr meismer v rheineck f 2,1
jacob meyer von gehweil,1
straub von st gallen,1
tschudy hr wart von glarus,1
undervogt hugg von ramfthen,1
ulrich binder v rheinegg f 2 kehrli v schänaü,1
marie koch von berikon 2 schwaben,1
6 schwaben 7 landl,1
mr pizzala f 3 mr caffati de milan,1
2 landl 2 schwaben,1
rud völkli v schaffisheim 10 landl,1
1 kutscher v baaden 4 handw 2 schwaben,1
hr looser v wattweil f 2 thürry v herisau,1
jacob wehrly von langendorff,1
steger v lichtensteg hr gözi v underdäzen,1
hr ant mechel v altendorf custer v schmerikon,1
sächy de bellentz,1
3 flaweiler  1 lucerner fuhrmann,1
schultheis curty von rapperschwell,1
grimm  comp de soleure,1
lager hr winteler hr jenni von glarus,1
major convers de neufchatel,1
mr jean parade dauvergne f 3,1
mr christoff rocasly di bergamo f 4,1
ein postilion von waldtshut,1
2 oelhändler von rietlingen,1
fr mathias sandtner aus tyrol,1
forrer von winterthur,1
noel corbassier dauvergne,1
dromu de geneve,1
menoth de strafsburg,1
2 brisgäuer tuchhändler,1
meyer von lucern,1
hr franz anton widmer von eschenbach f 2,1
tschudy hr schindler hr hefty v glarus,1
3 handw 6 landl 2 schwaben,1
joseph sesiamno von langensee f 2,1
1 handw 9 landl,1
seraphina ringwaldin von carlsruh,1
hr meyer von esslingen,1
albertis von arbon,1
fespinger von basel,1
melchior martj von othmarſingen,1
gebrüder zum stein von stockach,1
5 leipziger fuhrleuth,1
ein kutfcher voc waldfhut,1
mr chriſtoff caſſe di bergamo f 4,1
joachim oetlj von luttorff,1
5 hilzinger muſicanten,1
ein appenzeller f 2,1
hr nicolaus lager u peter martin v glarus,1
joh rup von sargans,1
hr dappeler von tagerfelden f 3,1
friederich sattler von kirchheim,1
landvogt stähelin von näfels,1
joh könig von gebiftorff,1
jofeph pfand aus tyrol,1
meyrett von einfidlen,1
barth barretti dintra f 2,1
mr chriftoff caffe di bergamo f 4,1
weybel von lichtenfteg,1
antoine miffana von pefflingen,1
5 hitzinger mufi anten,1
reſpinger von basal,1
oswald weber von merzigen,1
fried schan von unterwalden,1
hr pfeffel von glarus f 2,1
lehn vogt burger von murj,1
sekelmeister mayer    hr rathsherr roschac,1
calandre    mr alzari de milan f 2,1
leonti lieberheer von goldingen,1
chrift kübler von reichenburg f 3,1
ant schättin von lachen,1
ant pfister von rothweil f 2,1
jgnatj straup von kirchzarg f 2,1
pürrer von rapperschweil,1
ant imhoof franz koch v bremgarten,1
ant muet von ammen,1
stadtricher vogler von frauenfeld,1
riedel von jserlohn,1
samuel flohr von kulm,1
andreas morsbrugger von bregenz,1
beß mr bridges anglois,1
hr hefftj von glarus f 2,1
conrad oechslj von schafhausen,1
dominico pirzzala de milan,1
hr joh bofshardt von zug,1
math aegerli von paßenweil f 3,1
3 landl 6 handw,1
4 handw 7 landl 9 schwaben,1
johann peter battian von augstahl,1
mr françois mondé de savoye,1
37 schwaben 2 landl,1
hr ignatius meyerhans von düettel,1
4 schwaben 4 landl,1
rütty von dieffenhoffen,1
statthalter müller von esch,1
de saufsure sämtliche de lausanne,1
secretan mr de brenler mr de crousaz,1
joh fischer von brinz f 2,1
sek imeister mayer hr rathsherr roschach,1
hr keusch von merischwanden,1
gotthard marck von ludwigsburg f 2,1
jacob meyer aus dem müenthal,1
wetzel von baaden,1
rothenburg aus dem wirtenberg,1
mr françois mondè dauvergne,1
eine frau aus dem toggenburg,1
sekelmeister mayer hr rathsherr roschach,1
2 frauen von lenzburg,1
frau elisabetha rieggl von eschenbach f 2,1
b von arbon,1
4 handw 3 landl,1
zulauff von brugg 7 landl,1
casp ehrismann von biel,1
jefr guttin von baaden 2 schwaben,1
haubtm bär v rosenthal in kayf diensten,1
hr jacob ulrich von waltehingen,1
freuler v glarus f 4 hr diethelm v lache,1
mr desouslaeret de lyon,1
doctor hubert von gails,1
joh schmid von hizkirch f 2,1
jacob hartmann von wattweil,1
3 brisgauer tuchhändler,1
jac meyer von errendingen f 2,1
perrola de savoye,1
hartmann von nürnberg     4 landl,1
brämj von rapperschweil,1
joh dirringer von algaü 8 landl,1
bodmer von wälflingen,1
baron tschudj von zarzach,1
hr kieser von lenzburg 10 landl,1
bannhard küchler von murj 2 handw,1
elisab kellerin von rikenbach f 2 2 schwab,1
chorli steinmann von stokach 2 pilger,1
vit schmid v büblikon 11 schwaben,1
11 schwaben 10 landl,1
krauß virtuos von ulm,1
hr lang aus sachsen 7 schwaben,1
stadtschreiber sultzer hr amtmann hegner,1
doctor gruber von gaiß,1
adam fischler von dieffenhoffen,1
däppeler von tägerfolden f 3,1
georg egloff von tägerweilen 3 landl,1
haas v hornberg hr bruder v ratstatt,1
christ streff von duttlingen f 2,1
georg schlatter von fillingen f 3,1
mr morell de savoye hr berchtold aus tyrol,1
hr david bachmann von stettfort f 2,1
1 holländischer soldat 14 landl,1
ulrich schweitzer von ebm f,1
major tschudj von glarus,1
probit d lyon hr sandtner aus tyrol,1
4 handw 3 landl 3 schwaben,1
1 kutscher von müllhausen,1
frz enteler v schweiz hr schnell v waltsen,1
2 schwaben 2 landl,1
rosina wäldin von stetten,1
müller pofter von wurmspach 14 landl,1
hr auguſtin steiner aus tyrol,1
jean biſſa di bergamo f 2,1
amb auſelmalz von tübingen,1
ruprecht widmer von sarnentorff,1
loyer von colmar f 2,1
spiegel von rapperſchweil,1
madm bürgj  1 poftillion von waldtshut,1
marg schindler von glarus,1
mr forell de geneve,1
jacob meyer aus dem muenthal,1
hr freuter von glarus f4,1
1 franzöfischer sergent  2 recrouten,1
pierre silahl de cleven,1
hr schäfer aus böhmer,1
joh schnell aus dem schwaben land f 7,1
hr prix aus böhmen f 2,1
singer von stein        3 landl,1
peter von feurthalen,1
hr kreich v tubingen musicus,1
laver von colmar f 2,1
lutz    hr fehr von bern,1
landfchreiber stedler von lentzburg,1
hr landfchreiber jenner aus dem freyamt,1
ein flaweller fuhrmann,1
hr pfau v schaffhausen f 2     7 schwaben,1
langlade de lyon     hr göde v tuttlingdn,1
doctor hubert von gais,1
jacob basler von steckboren,1
6 landl 1 handw,1
hr müllibach von tägerfelden f 3,1
4 landl 1 schwab,1
frz jof kauffmann von fullenbach,1
widder v gottlieben,1
zohlm baur von donauefchingen f 3,1
jofeph befoignez dauvergne f 2,1
tſchudj von glarus,1
neuffer von leutkirch,1
labhardt von kauffbayern,1
allemande in sardinifchen dienften,1
gaffner volontaire fämtliche vom regim royal,1
hauptmann khuon hr lieutenant khuon,1
layer von colmar f 2,1
spiegel von rapperfchweil,1
mr borell de geneve,1
vit schmid v bühlikon,1
jean bila di bergamo f 2,1
jof enz von batzenheit,1
miller von lindau,1
ognibene mr cassa piccola di pergine,1
kraus virtuos von ulm,1
joseph schmid von hizkirch,1
hs ulrich fromherz f 2,1
hr gottfried foster von uetwellen f 5,1
mr wille de grenoble,1
hr keusch von merlschwanden,1
anton mechler von altendorf,1
joseph franz von burgau,1
hr emanuel dirrmann von bern f 2,1
1 holländischer recroute,1
hauptm bar v rothenthal in kayf diensten,1
joh staib aus sachsencoburg,1
salomon wust von anatlchweil f 2,1
jacob pfund von unter allau,1
mela von maynz 2 trägner,1
breyhoffer von kirchberg,1
pizzala von mayland f 4,1
françois monaftere di como,1
doctor gruber von gais f 2,1
10 holländifche recrouten 4 landl,1
aloifi brändli von eschenbach f 2,1
mr baftard de strasburg hr calandre de turin,1
franz xaverj helbling von ichenhausen,1
jof gehnn von kuchenbach,1
hr siebenmann von arau,1
maria theresia feichtinger aus tyrol,1
hr zobler von oberweil,1
sanderer aus tyrol,1
wachtmeister fink in spanischen diensten,1
anton buchs von freiburg,1
hr felix aus bohmen f 2 4 landl,1
1 breisgauer tuchhändler 5 landl,1
faesch von basel,1
ogilbone mr caffa piccola di pergine,1
madm la baronne de betschardt aus der pfaltz f 3,1
hr batzel von salzburg,1
tholon de lyon,1
keller von rheinegg,1
buehl von kayserstuhl,1
addè mr stefs mr michel von mannheim,1
1 handw 2 landl 12 schwaben,1
hegner von winterthur,1
jacob zehnder von dettingen f 2,1
hr ibrix aus böhmer f 2 8 landl,1
4 handw 5 landl 12 schwaben,1
pro memoria von kuffstein,1
3 schwab 3 landl,1
mr baftard de strasburg,1
3 handw 9 landl,1
hr schneelj von glarus,1
chrift müller von hechingen f 3,1
bartholome knöpfler von herisau,1
jkr gonzenbach und frau von st gallen,1
stolterfolt von lübeck,1
lotzfeck von lahr,1
mr desoufecret de lyon,1
fayer muficus aus tyrol f 2,1
pater lechner minorit ord von würzburg,1
franz hengel r von schweitz,1
spiegel muficus von rapperschweil,1
2 handw 9 landl,1
calandré de turin,1
mr bastard de strasburg,1
1 französischer soldat  1 recroût 3 handw,1
hr pfau von winterthur,1
4 handw 8 landl 3 schwaben,1
kreff v solothurn hr widder v gottlieben,1
rudolph rahn von st gallen,1
wilhelm eigenmann von untenhörstetten,1
3 st galler fuhrleuth,1
le freres juanne de versailles,1
uhlmann von angfpurg 6 handw,1
hr samuel müller von lenzburg 10 landl,1
mich hierholzer aus bem schwarzwald,1
jefr lingandria von carlsruh,1
jmhoff v bremgarten hr müller v bruchsal,1
leonhard nufer von stuttgardt,1
hr joh peter jofs von ragaz,1
jæger von glarus f 2,1
hr jacob clement von regenfpurg f 2,1
joh rauch von landau,1
sebaft hunziker von leimbach,1
calandre de turin,1
johann chriftian laugner aus sachsen,1
ognibene mr calla piccola di pergine,1
stof erfoht von lübeck,1
1 pilger 1 landmann,1
mr desousfeeret de lyon,1
bayer muficus aus tyrol f 2,1
fuhr von frauenfeld,1
loctor gruber von gaifs f 2,1
hr jesaias dilsheim von würtzburgf 3,1
hr jacob leo von mellingen,1
jofeph von moos von lucern,1
jof hudel von bremgarten f 2,1
jacob riner von zurzach f 2,1
boxler von utznach,1
6 zurzacher fuhrleuth,1
dorrer von baaden f 2,1
legler von glarus 16 pilger,1
5 landl 1 handw,1
hr martin aus böhmen 2 handw,1
jos bek von augstahl,1
hr gebrüdere zum stein v augstahl,1
hr vit schmid von bärdikon,1
hr joh letsch von ebingen,1
heitz von glarus,1
ein holländischer soldat  3 recrouten,1
joh mariqua von lenzen,1
faffame di lugano,1
leonti lieberheer von uznach,1
harlacher von brugg,1
ballinger von baaden,1
landvogt reüchly von schweitz,1
ob rift von bachmann vom regm aubonne f 4,1
berta di belgirate  mr son frere,1
hr landhofmftr bar von miller von st gallen,1
hs rudolph rütschj von remikon,1
hr rathsherr düggeler von schüfharfen,1
mr chriſtoff caſti di bergamo f 4,1
cathar razingerin von solothurn,1
claude durot de saroge,1
heinse von düsseldorf,1
hr thomas schmied v gehrweil f 3,1
hunkeller von damersellen,1
mr pierre concorban de barcelonette f 2,1
hr hauptmann schillinger von klingnau f 2,1
ein soldat vom regim kalbermatt in sardinisch diensten,1
1 holländischer sergent  2 recrouten,1
ein holländischer soldat,1
peter marhard von nürnberg,1
hieronimus brunner von wurmfpach,1
fuchs von einfidlen,1
fried bühler von toggeren,1
georg schönholzer von göttikoften,1
frz jos niderberger von unterwalden,1
willhelm tribacher aus tyrol f 2,1
3 klingnauer fuhrleuth,1
vit schmid von bübikon f 2,1
anton brändlj von lachen,1
2 landl 7 handw,1
rikemann famtliche von rapperschweil,1
jacob baltenspühl von zug,1
vincent zink von heiligenberg,1
hr martin aus böhmen     3 handw,1
jacob ruthishauser von guttingen,1
hr winckler v schlettingen f 3,1
beaumont mr curchot mr meuron de geneve,1
oftwald weber von menzigen,1
gfr gutin von baaden,1
schwarzhoff d aubonne,1
fürfprech widmer von sarnentorff f 3,1
hr martin frey von errendingen,1
bifchoff von bafel,1
pater beichtiger aus dem fahr,1
lehnvogt bürger von murj,1
fürfprech widmer von sarnenstorff,1
osswald weiss von zug,1
joseph frey von errendingen,1
martin ehrhardt aus sachsen f 2,1
joh gatto von baaden,1
jacob ruthishauser von göttingen,1
mr dominico pizzala de milan,1
3 schwaben  11 landl  2 handw,1
ein capaunerhändler de belfort,1
fuchatich  mr stephani mufici von prag,1
hr berch old aus tyrol f 2,1
jesajas späth von stettfort,1
isaac schlaginhauffen von kümertshausen,1
1 handw 2 landl 2 schwaben,1
hr belizarj von chur,1
2 tyroler,1
brisgäuer tuchhändler,1
combert de marseille,1
gottlieb klingler von leipzig,1
franz jacob müller von tann,1
r christoff cassi di bergamo f 4,1
hr hartmann von cappel,1
jacob ruthishauser von gättingen,1
r mich winckler v schlettlingen f 3,1
r michael kern von bamberg f 3 musc,1
9 handw 6 landl 8 schwaben,1
bader von grichternberg aus tyrol,1
passanne di lucarno,1
dominico pizzala de milan f 3,1
1 handw 4 landl 9 schwaben,1
6 schwaben 5 landl,1
lumpert aus tyrol federen händler,1
hr haubtm an der matt vom regim aubonne,1
15 schwab 12 landm,1
salomon welty von ulm,1
jacob billinger von wangen f 2,1
hr schellenberg hr goldschmidt von winterthur,1
joachim willi von frauenfeld f 4,1
adam hess von heiderloh,1
hr sebast roth von hetzweil,1
30 pilger 4 handw 4 landl,1
ant schneelmann aus der march,1
1 handw 1 landl,1
ein frankfuhrter fuhrmann f 2,1
oberfft weiff hr lieut zweifel v glarus f 4,1
rikemann ſämtliche von rapperschweil,1
leutlj von tuttlingen f 2,1
hanhardt mr roux de geneve,1
adam hefs von heiderloh,1
hr jacob dowe von lenzburg,1
richlj von schweitz,1
eine frau von sursee f 3,1
hr kuhn hr engler von st gallen,1
ulrich frommherz von gerweil f 2,1
joh münder von müllhausen,1
9 schwaben 3 landl,1
conrad murpach von neukirch,1
le port de freyburg,1
12 schwaben 8 landl 3 handw,1
högger von st gallen hr stählin von reinegg,1
mad de ferrets von brontrut,1
13 schwab 18 landl,1
merkj v mandach hr bütter v ellendorf f 2,1
thodocus wilhelm aus dem bregenzerwald,1
clem oberwilder veronica frankin aus tyrol,1
eggetschweiler von wangen f 2,1
joh bürgy von waldshut 1 schwab,1
kirchhoffer von schaffhausen 1 landl,1
joh mettler von wattweil 22 schwaben,1
kollerin von niederdorf aus tyrol,1
mr françois monde de savoye,1
lüttj von bern 16 schwaben,1
mad probst von biell,1
lieut von flüe vom regiment bocard,1
oberft hr hautbrin paraveinj in holland dienft,1
jos vöglistahler von jonen,1
hr wepfer von dieffenhoffen,1
jacob frey von affeltrangen f 2,1
ulrich früh von mürweil f 4,1
guion von bruchsal,1
forrer von peterszell,1
48 schwaben 2 landl,1
frau marianne saxerin von murj,1
6 landl 3 handw,1
hr berchold aus tyrol f 2,1
caris de modena,1
mylord jocelyn mr le chev newenham anglois,1
2 handw 5 landl 14 schwaben,1
4 schwaben 10 landl,1
2 würtemberger muficanten,1
faffanne di lucarno,1
2 handw 12 landl 17 schwaben,1
franz riedel von bremgarten,1
jos ant toffenbach von zug,1
46 schwaben 2 landl 2 handw,1
jacob munch von teuffenthal,1
samuel boniger von schaffisheim,1
berner comödiendirector von baaden,1
7 schwaben 8 landl,1
hr fridrich rudolf von zurzach,1
1 berngebiether,1
1 holländiſche sergenten,1
colmar de paris,1
wilhelm lamat aus den berngebieth,1
pater beichtiger von wurmſpach,1
hr carl zeskj von kupferberg f 3,1
martin woller von wollen,1
noel corbafsier de savoye,1
8 schwab 3 landl,1
pater aloyfius vogelsang von st urban,1
2 plaweiler fuhrleuth,1
mr deloff von mannheim,1
buttiger von bischoffzell f 2,1
richard de strasbourg,1
7 piemontefische recrouten,1
mr noel corballier de savoye f 2,1
mr falzolla de milan f 2,1
ein capaunenhändler de besançon,1
jos schnellmann von wettingen,1
berchtold aus tyrol f 2,1
tobias gangine von lachen,1
heinrich engel von seengen,1
ott hr luchfinger von glarus,1
3 handw 4 landl,1
leonhard porzaro von langenfee,1
melch von frick f 2,1
16 pilger 6 landl,1
2 schwaben 3 landl,1
jacob weber von cander,1
hr melchior sigerist von seengen f 2,1
luchlinger von glarus f 2,1
pfau v schaffhaus cortenailer von stubach aus tyrol,1
s wegger von lachen f 2,1
6 zürcher fuhrleute 4 handw 2 schwab 5 landl,1
mr vogt hagin von kirchen heinrich scherb von basel,1
hr oelj von birrwingel im thurgäu,1
jgfr elis röthin von keisweilen,1
4 schwaben 3 landl 3 handw,1
hr zulauff von brugg 3 handw 2 schwaben,1
knoll  hr miller von lenzburg,1
hauptm baron v thurn in französi diensten,1
roux  mr gatta de geneve,1
peter chaam caspar weber f 9 von glarus,1
caspar grüniger von lachen f 2,1
mr chriftoff cafte di bergamo f 4,1
6 pilger 8 landl,1
johannes müller von rekingen f 2,1
hr joseph kauffmann von maynz,1
hr bachmann v stettfort sam berger von bern,1
beyde von arbou,1
ein französischer recreut,1
hr imson aus tyrol hr schilling von uri f 2,1
schnell von zoffingen f 2,1
hr oberist baron v thurn in spanischen diensten,1
1 schwab    4 landm,1
elisab senn von baaden,1
43 schwaben  4 landl  2 handw,1
jgfr seraph blumerin von lindau,1
2 mann von lucern         4 schwaben,1
9 recrouten vom franzöfl schweitzer regiment,1
bohne de bienne hr merk von ravenspurg,1
schneider cathol geistl von wartensee,1
roschet von basel hr piccard de chalon,1
mr frattelli stephani di chiavenna f 2,1
hr joh bollinger von berringen,1
hr meyer von eisslingen,1
baron kreis baron von holzschuher,1
mittelholzer hr binder u frau von st gallen,1
hr joh wey von villmergen f 2,1
hr ulrich metzger von affeltrangen f 3,1
knoll von lenzburg,1
de planto officier de caval in königl franz dienst,1
wegner v constanz pater august von werthenheim,1
jgfr anna lunzin v rheinegg jgfr nadi von sargans,1
jac schmid v zaarh 3 schwab 2 handw 2 landl,1
1 berner 1 kanstadter 1 schaffhauser kutscher,1
samuel mathis von körlikon f 3,1
stannauer von einfidlen,1
martj von glarus,1
mr christoff casse di bergamo s 4,1
mr efmenjaud de moulins f 2,1
1 schwab 1 landm,1
de vernenoux de paris,1
2 handw 9 landl 13 schwaben,1
38 schwaben 4 landl 4 handw,1
gallier commiffaire général de paris,1
heinrich sautter von hoob,1
ryhener von basel,1
barossio de mendris,1
schindler von glarus,1
vom regim boccard in französischen diensten,1
hr hauptm von flüe hr lieuten von flüe beyde,1
joh schmid von hizkirch,1
caspar bollinger von schaffhausen,1
hr sekelmeister hauser von näfels f 2,1
jacob hüpli von wengi    4 landl,1
mr jean barade dauvergne,1
ein kutscher von basel,1
georg schärfel aus bayern f 3,1
noel dauvergne,1
hr weinman aus bayern f 4,1
mr regina di lugano,1
laurenz drüschler von st bläsi,1
jacob wiedlispach von wollen f 2,1
6 hilzinger musicanten,1
buss von rheinegg,1
jkr spitahl  herr schuhmacher und frau,1
schütle von sultz am neckar,1
schweitzer jkr mahler famtl von lucern,1
joh thomann aus dem schwarzwald,1
hr zwilÿ von glarus,1
ein stadtläuffer von liechtensteg f 2,1
zobler von oberweil,1
georg dietrich von basel,1
sämtliche von basel,1
respinger hr roschet hr merian hr rocher,1
forschner von liechtenstieg,1
graemer von mellingen,1
schirley anglois,1
jean barade dauvergne,1
1 berner 1 bamberger kutfcher,1
caspar willj von hizkirch,1
2 landl 5 handw 1 pilger,1
hs georg knupp von amrischweil,1
ant muetter von rheinau,1
jgfr dorothea felberin von trieboldingen,1
9 landl 3 handw,1
berta di belgrate,1
diethelm von lachen f 4,1
melchior ferner von aelen,1
16 schwaben 4 landl,1
eberwein von wettichen,1
hausheer von chaam,1
hr michael kern von bamberg f 3 musc,1
6 schwab 4 landm,1
laurenz sundheimer von reitenbach,1
tägerfelder von brugg,1
locher v feidenberg f 2,1
efmenjaud de moulins f 2,1
krauss hr baur von wienn,1
wild von amsterdam,1
nr gigot de neufchatel,1
beaumont mr corboz mr sautter de geneve,1
emanuel weibel von basel,1
georg seiler von conftanz,1
boutton de lyon,1
2 salz fuhrmann von klingnau,1
blafius frey von errendingen,1
schalch von schaffhausen,1
16 schwaben 5 landl 2 handw,1
hr mathias motz von memmingen,1
meyer von eslingen,1
carl eſſbich aus sachsen,1
thaddäus huber von geerweil,1
joh georg meyer von mühlenrütj,1
ein kutscher von frauenfeld,1
mr dominico pitzzala de milan,1
jacob eichenberger von brugg,1
hr jacob marx von basel,1
ein capaunenhändler de belfort,1
8 handw,1
firtz von tägerfelden f 2,1
sigmund hauser von speichingen,1
trutmann von schweiz,1
jac hilzinger von gachlingen 5 landleutb,1
math schoop aus dem margraffenland,1
ir michael kern von bamberg f 3 muße,1
cundert v glarus jac horb von colmar f 2,1
hr martin aus böhmen 3 handw,1
3 schwaben 7 landl,1
däppeler von tägerfelden f 3,1
mr jean zamponi  mr ant baretti de milan f 3,1
madm bolquier von ludwigsburg,1
jean burat di noiaretta f 2,1
widal confiseur de grison,1
lochoret  comp de brigue en vallais á 12,1
däppeler von tägerfelden f 2,1
noel corballier de savoye,1
mr rivier     mr demikelis de turin,1
schnell von stuttgardt,1
leonhard fornaro von landeron,1
heinrich scherb von bafel,1
franz miller von kirchheim f 2,1
andr schirmer von frikingen,1
4 schwaben,1
meyer von eflingen,1
piccard de chalon,1
roschet hr merian von basel,1
hr haubtmann bühl conrad schmid von stein,1
werner von ebingen f 3,1
anton reichmann von cappel,1
mn morell de savoye    3 landl,1
alexander häberli von flurlingen f 2,1
2 pilger 2 landl,1
cafpar barthme von gehrweil,1
14 schwaben    6 landl,1
langer  comp von glarus f 4,1
adam ehrismann von ruth,1
mr pitzala  mr cattati de milan f 2,1
hr mich winckler v schlettingen f 2,1
philipp beck von niderhungarn,1
elgas aus dem allgäu,1
blafeck von senitz aus ungarn,1
haubtm pelletz in preußischen diensten,1
hr wepfer von diessenhoffen f 3,1
hr jacob weltschi von gränigen,1
amann peter von dusslingen,1
nägeli von rapperschweil,1
stephan albesino dintra f 3,1
hr abraham wehrj von schaffishein,1
pfr selmater von oberbipp,1
mr ambuffo  comp di chiavenna f 6,1
1 strassburger   1 lucerner fuhrmann,1
schwanen 3 landl,1
mazloff hr gall von strafsburg,1
corboz de geneve mr patinoz de barleduc,1
heitz   hr trümpj von glarus,1
georg meyer von müllenrütj im toggenburg,1
de vermenoux mr bernier mr neyville de paris,1
2 fuhrmann aus dem schwabenland,1
hr joh sprenger von vogtschloh im toggenburg,1
jean veuilpiller de savoye f 4,1
